INFO 2025-05-22 15:13:21,451 services Initializing ArXiv dataset...
INFO 2025-05-22 15:13:28,352 services ArXiv dataset initialized successfully!
INFO 2025-05-22 15:13:28,353 services Skipping Llama model initialization - using mock text analysis service instead.
INFO 2025-05-22 15:13:28,353 services Services initialization completed!
INFO 2025-05-22 15:13:30,487 services Initializing ArXiv dataset...
INFO 2025-05-22 15:13:35,567 services ArXiv dataset initialized successfully!
INFO 2025-05-22 15:13:35,567 services Skipping Llama model initialization - using mock text analysis service instead.
INFO 2025-05-22 15:13:35,568 services Services initialization completed!
INFO 2025-05-22 15:13:35,593 autoreload Watching for file changes with StatReloader
WARNING 2025-05-22 15:13:43,519 log Not Found: /
WARNING 2025-05-22 15:13:43,520 basehttp "GET / HTTP/1.1" 404 179
WARNING 2025-05-22 15:13:43,945 log Not Found: /favicon.ico
WARNING 2025-05-22 15:13:43,947 basehttp "GET /favicon.ico HTTP/1.1" 404 179
WARNING 2025-05-22 15:13:56,703 log Not Found: /api
WARNING 2025-05-22 15:13:56,704 basehttp "GET /api HTTP/1.1" 404 179
WARNING 2025-05-22 15:14:11,736 log Not Found: /api
WARNING 2025-05-22 15:14:11,737 basehttp "GET /api HTTP/1.1" 404 179
WARNING 2025-05-22 15:14:26,348 log Not Found: /api
WARNING 2025-05-22 15:14:26,349 basehttp "GET /api HTTP/1.1" 404 179
WARNING 2025-05-22 15:15:07,564 log Not Found: /api/health
WARNING 2025-05-22 15:15:07,565 basehttp "GET /api/health HTTP/1.1" 404 179
INFO 2025-05-22 15:19:44,092 services Initializing ArXiv dataset...
INFO 2025-05-22 15:19:49,351 services ArXiv dataset initialized successfully!
INFO 2025-05-22 15:19:49,352 services Skipping Llama model initialization - using mock text analysis service instead.
INFO 2025-05-22 15:19:49,352 services Services initialization completed!
INFO 2025-05-22 15:19:51,778 services Initializing ArXiv dataset...
INFO 2025-05-22 15:19:57,327 services ArXiv dataset initialized successfully!
INFO 2025-05-22 15:19:57,328 services Skipping Llama model initialization - using mock text analysis service instead.
INFO 2025-05-22 15:19:57,328 services Services initialization completed!
INFO 2025-05-22 15:19:57,341 autoreload Watching for file changes with StatReloader
WARNING 2025-05-22 15:20:10,436 log Not Found: /api
WARNING 2025-05-22 15:20:10,441 basehttp "GET /api HTTP/1.1" 404 179
WARNING 2025-05-22 15:20:23,134 log Not Found: /
WARNING 2025-05-22 15:20:23,135 basehttp "GET / HTTP/1.1" 404 179
WARNING 2025-05-22 15:20:54,524 log Not Found: /analyze
